Time (hours),Cu,Fe,Ni
0,0,0,0
0.0005,0.002995107,0.125433056,0.005136927
0.001,0.002394278,0.178615385,0.005297178
0.002,0.003324806,0.202596154,0.005845161
0.004,0.004255333,0.226576923,0.006393145
0.006,0.004778102,0.239807692,0.006621472
0.007,0.005109607,0.253822428,0.006991781
0.008,0.007121329,0.223600344,0.008598397
0.01,0.005585485,0.359154391,0.009446835
0.012,0.009756314,0.295483931,0.012955562
0.02,0.006346406,0.317538462,0.009589718
0.024,0.007690374,0.325807692,0.010736667
0.03,0.007067649,0.335394197,0.011172566
0.034,0.007422954,0.344980702,0.012298761
0.048,0.017916272,0.3655,0.014612904
0.072,0.028759516,0.461423077,0.022923993
0.096,0.039286982,0.502769231,0.030321775
0.192,0.079684934,0.661538462,0.065940728
0.288,0.084688452,0.628527692,0.08886472
0.384,0.091484439,0.284461539,0.101763704
0.432,0.090543457,0.254692308,0.110966737
0.456,0.089602474,0.224856923,0.121681274
0.504,0.0875,0.172,0.11142339
